Plane Section: Position[X] (m),Plane Section: Position[Y] (m)
-3.5,1.10E-04
-3.27,1.11E-04
-3.04,1.16E-04
-2.81,1.23E-04
-2.58,1.34E-04
-2.35,1.50E-04
-2.12,1.72E-04
-1.89,2.06E-04
-1.66,2.55E-04
-1.43,3.30E-04
-1.2,4.14E-04
-1.176,4.60E-04
-1.152,4.76E-04
-1.128,4.97E-04
-1.104,5.16E-04
-1.08,5.37E-04
-1.056,5.62E-04
-1.032,5.86E-04
-1.008,6.12E-04
-0.984,6.41E-04
-0.96,6.72E-04
-0.936,7.07E-04
-0.912,7.42E-04
-0.888,7.82E-04
-0.864,8.24E-04
-0.84,8.72E-04
-0.816,9.24E-04
-0.792,9.79E-04
-0.768,0.001041186
-0.744,0.001109437
-0.72,0.001186992
-0.696,0.001268941
-0.672,0.0013635
-0.648,0.001468701
-0.624,0.001588975
-0.6,0.001718361
-0.576,0.001880926
-0.552,0.002053924
-0.528,0.002291458
-0.504,0.002632234
-0.4921875,0.00249683
-0.484375,0.001983696
-0.48,0.003492187
-0.4765625,0.00173848
-0.46875,0.001584618
-0.4609375,0.001664941
-0.456,0.003166961
-0.453125,0.001757639
-0.4453125,0.001906333
-0.4375,0.002098751
-0.4296875,0.002265308
-0.421875,0.002398743
-0.4140625,0.002577478
-0.40625,0.002437674
-0.40234375,0.002433763
-0.3984375,0.002859201
-0.39453125,0.002700675
-0.390625,0.003117781
-0.38671875,0.00304364
-0.3828125,0.003438518
-0.37890625,0.003489983
-0.375,0.003605924
-0.37109375,0.003764683
-0.3671875,0.003936237
-0.36328125,0.00407366
-0.359375,0.004038973
-0.35546875,0.003999029
-0.3515625,0.004184633
-0.34765625,0.004452265
-0.34375,0.004588093
-0.33984375,0.004638389
-0.3359375,0.004684642
-0.333388835,0.005174823
-0.332621373,0.005278929
-0.33203125,0.005266087
-0.330874731,0.005174823
-0.328125,0.005174823
-0.32421875,0.005174823
-0.321309742,0.005174823
-0.3203125,0.005412658
-0.318359375,0.005302203
-0.31640625,0.005814031
-0.314453125,0.005869271
-0.3125,0.00593267
-0.310546875,0.006029079
-0.30859375,0.005982608
-0.306640625,0.005953965
-0.3046875,0.005999419
-0.303171445,0.048188308
-0.302734375,0.006041264
-0.302668477,0.04783463
-0.302445692,0.04800641
-0.301228231,0.047775446
-0.301035605,0.047050459
-0.300898109,0.046963294
-0.30078125,0.006044189
-0.300616949,0.04758721
-0.300406966,0.046577317
-0.299887107,0.047361435
-0.299459824,0.045733174
-0.298828125,0.006021679
-0.298810338,0.046948119
-0.298353957,0.04512402
-0.297689945,0.046556795
-0.297503452,0.044649729
-0.296875,0.005951852
-0.296818181,0.046263608
-0.296452622,0.046137815
-0.296148671,0.043891136
-0.295422606,0.043495614
-0.295419012,0.045754794
-0.294921875,0.005898604
-0.294659182,0.045495431
-0.293937215,0.04266092
-0.29326192,0.042294784
-0.293099368,0.044924563
-0.29296875,0.005911726
-0.292381608,0.044686767
-0.291724111,0.041426689
-0.291454613,0.044352438
-0.291064678,0.041065763
-0.291015625,0.005964144
-0.290750665,0.044093253
-0.290048272,0.043852731
-0.28909728,0.039992149
-0.2890625,0.00609829
-0.287970453,0.043087028
-0.287109375,0.006425479
-0.286980073,0.039058132
-0.285790874,0.042325303
-0.28515625,0.007101082
-0.285100023,0.038172089
-0.285097243,0.007127948
-0.283839455,0.041635442
-0.283215104,0.03724843
-0.283203125,0.00823094
-0.282383773,0.036831714
-0.281873217,0.040935227
-0.281319469,0.036379605
-0.28125,0.008858648
-0.280082885,0.009081073
-0.279915072,0.040238153
-0.279482771,0.035589953
-0.279296875,0.009191574
-0.278034444,0.039569198
-0.27757186,0.039404649
-0.277493557,0.034737119
-0.27734375,0.009408865
-0.27599878,0.038843986
-0.275585117,0.033903469
-0.275390625,0.009567676
-0.274040637,0.038146892
-0.273835077,0.033118456
-0.2734375,0.009721508
-0.272237087,0.037508899
-0.271772936,0.032223259
-0.271484375,0.009948132
-0.270126638,0.036746424
-0.26982179,0.03133738
-0.26953125,0.010281443
-0.268115157,0.036026316
-0.267982218,0.030484077
-0.267578125,0.010715246
-0.266348736,0.011034198
-0.266213031,0.035344878
-0.266096149,0.029588962
-0.265625,0.011312597
-0.264256956,0.034642104
-0.264231133,0.02866975
-0.263671875,0.01210249
-0.262357452,0.027706857
-0.262311855,0.033942923
-0.26171875,0.012940921
-0.261616564,0.012987323
-0.260517419,0.02668526
-0.260345209,0.033235449
-0.259765625,0.014325872
-0.259745573,0.026221831
-0.258907279,0.014940448
-0.258842387,0.025460466
-0.258389545,0.032531545
