"Plane Section: Position[X] (m)","Plane Section: Position[Y] (m)"
-3.5,9.008080882401924E-6
-3.27,9.404246044837248E-6
-3.04,9.52302496595443E-6
-2.8099999999999996,9.807050355084383E-6
-2.58,1.0703913390205846E-5
-2.3499999999999996,1.091764327300804E-5
-2.12,1.1599999686962926E-5
-1.89,1.2614582402551951E-5
-1.6599999999999997,1.4130854071801782E-5
-1.43,1.6952376047091452E-5
-1.2000000000000002,1.809551815730318E-5
-1.1760000000000002,1.3427770625899782E-5
-1.1520000000000001,9.844448371545359E-6
-1.1280000000000001,1.2280722940164043E-5
-1.104,1.459830988500329E-5
-1.08,1.542179400009251E-5
-1.056,1.577205342865283E-5
-1.032,1.4921994116939147E-5
-1.008,1.6853731188268403E-5
-0.984,1.8859669798883434E-5
-0.96,1.4602974617326575E-5
-0.936,1.2801153775555659E-5
-0.912,1.2852360341236496E-5
-0.888,1.1440502178150123E-5
-0.864,1.138351996432421E-5
-0.84,1.020244146728239E-5
-0.8160000000000001,9.635259453529E-6
-0.792,9.094655758285202E-6
-0.7679999999999999,7.672140122050048E-6
-0.744,6.3615530597864196E-6
-0.72,4.798706863508133E-6
-0.696,2.976989939094477E-6
-0.6719999999999999,1.1207124180154932E-6
-0.6479999999999999,-8.098576959926235E-7
-0.624,-3.2406306772108165E-6
-0.5999999999999999,-5.7123267537062886E-6
-0.5759999999999998,-8.43613688861493E-6
-0.5519999999999998,-1.1694448133188788E-5
-0.528,-1.5088239677835428E-5
-0.504,-1.8381650046502777E-5
-0.48,-2.222426762933942E-5
-0.4559999999999998,-2.6243317040599515E-5
-0.43199999999999966,-3.0514703853453534E-5
-0.40799999999999964,-3.464046326577975E-5
-0.38399999999999956,-3.9472332190527504E-5
-0.3599999999999996,-4.434317393336323E-5
-0.33599999999999974,-4.8798442144859424E-5
-0.3119999999999997,-5.423818873731773E-5
-0.2879999999999997,-5.9736978657049834E-5
-0.2639999999999997,-6.504377932573468E-5
-0.23999999999999966,-6.713626387973466E-5
-0.21599999999999964,-6.839707654917194E-5
-0.19199999999999967,-7.668056330785932E-5
-0.16799999999999968,-8.41889400151404E-5
-0.14399999999999963,-8.658500589806884E-5
-0.11999999999999961,-8.938010686560687E-5
-0.0959999999999995,-9.259590431304806E-5
-0.07199999999999945,-9.493598905831765E-5
-0.047999999999999696,-9.628677292049606E-5
-0.02399999999999962,-9.672158230801097E-5
3.7485540747535113E-16,-9.662334824940338E-5
0.024000000000000563,-9.782947045933155E-5
0.04800000000000036,-9.709321686778038E-5
0.07200000000000038,-9.432990927991567E-5
0.09600000000000032,-9.333782284389651E-5
0.12000000000000025,-9.126570854336448E-5
0.14400000000000046,-8.645257757062793E-5
0.1680000000000005,-8.307333974297412E-5
0.19200000000000042,-7.62668209804123E-5
0.21600000000000025,-6.977858213106226E-5
0.24000000000000027,-6.933640861813556E-5
0.26400000000000023,-6.555565421723824E-5
0.28800000000000037,-6.28482782627142E-5
0.3120000000000002,-5.532223613374755E-5
0.33600000000000035,-4.24656133851363E-5
0.3600000000000003,-4.285319841126705E-5
0.38400000000000034,-4.266124750325513E-5
0.40800000000000036,-3.6060856595380216E-5
0.4320000000000004,-3.1698529906435064E-5
0.4560000000000005,-2.6532134400405203E-5
0.4800000000000006,-2.2918339269154897E-5
0.5040000000000004,-1.8855811164739675E-5
0.5280000000000005,-1.4800088261801873E-5
0.5520000000000005,-1.1310967893128111E-5
0.5760000000000005,-7.81830447583098E-6
0.6000000000000005,-4.2284031202160285E-6
0.6240000000000006,-2.2324281902851104E-6
0.6480000000000006,-1.503944086714542E-6
0.6720000000000006,6.473081174641557E-7
0.6960000000000006,3.1870959514204017E-6
0.7200000000000006,5.375538026031234E-6
0.7440000000000007,6.535042530340799E-6
0.7680000000000007,7.837469126813256E-6
0.7920000000000005,9.005973833642713E-6
0.8160000000000003,9.825580283183248E-6
0.8400000000000003,1.1055978393594056E-5
0.8640000000000002,1.2300506292654096E-5
0.8880000000000001,1.3162203927199068E-5
0.9120000000000001,1.3562475450592257E-5
0.936,1.3770447896087595E-5
0.96,1.4935239341901324E-5
0.984,1.5670794328768306E-5
1.008,1.6486400727392693E-5
1.032,1.5953435369966398E-5
1.056,1.547369288486776E-5
1.0800000000000005,1.5684889132934563E-5
1.104,1.592749682186468E-5
1.1280000000000001,1.6676591503577863E-5
1.1520000000000001,1.779017008098245E-5
1.1760000000000002,1.9304525520439817E-5
1.2000000000000002,1.694166232300864E-5
1.4300000000000002,1.4484369112147686E-5
1.6600000000000001,1.3974282003988885E-5
1.8900000000000001,1.0800346434972335E-5
2.1200000000000006,9.166167921795514E-6
2.35,1.0086683167216236E-5
2.58,9.586344245610329E-6
2.8100000000000005,8.559274191838068E-6
3.04,8.186248491874734E-6
3.2700000000000005,8.184581348113151E-6
3.5,8.034758015973854E-6
